G̻neros,Jogos,Vendas,Exemplo
RPG;Indie,6,2300000,"Recettear: An Item Shop's Tale"
"Action;Adventure;Massively Multiplayer",6,105240000,DayZ
"Casual;Indie;RPG;Simulation;Strategy;Early Access",6,150000,Blockscape
Action;RPG;Simulation,6,1690000,"Starpoint Gemini 2"
Indie;Sports;Strategy,6,230000,"Frozen Cortex"
Action;Racing;Sports,6,990000,"Gas Guzzlers Extreme"
"Action;Indie;Massively Multiplayer;RPG;Early Access",6,230000,"Colonies Online"
"Indie;Simulation;Sports;Early Access",6,120000,Pulsen
Violent;Gore;Adventure,6,150000,"Construct: Embers of Life"
"Racing;Early Access",6,150000,"DRIFT 84"
